city,region,country,rank display,institution,location code,size,focus,research,age band,status,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled,year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,check_city,longitude,latitude
Rochester,North America,United States,147,University of Rochester,US,M,FC,VH,5,B,23.8,20.1,99.3,55,74.9,95.1,75.1,46.5,51.1,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-77.62857822,43.13055307
East Lansing,North America,United States,159,Michigan State University,US,XL,FC,VH,5,A,60.5,61.4,12.9,58.9,62.1,16.9,93.2,53.6,48.9,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-84.55634665,42.72951582
College Station,North America,United States,164,Texas A&M University,US,XL,FC,VH,5,A,61.5,65,5,67.8,24.8,14.7,91.1,36.3,47.9,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-110.8098797,30.81675
College Park,North America,United States,164,"University of Maryland, College Park",US,XL,FC,VH,5,A,51.2,35.6,37.1,71.1,23.8,14.9,92.6,61.4,47.9,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-76.94382415,38.98262629
Gainesville,North America,United States,188,University of Florida,US,XL,FC,VH,5,A,48.5,47,71.4,26.4,17.5,11.3,98,54,45.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-82.35590152,29.64654277
Hanover,North America,United States,205,Dartmouth College,US,M,FC,VH,5,B,19.2,25.9,65.2,86.7,5.7,32.8,53.7,96.7,42.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-72.29126842,43.70444057
Notre Dame,North America,United States,243,University of Notre Dame,US,L,CO,VH,5,B,26.6,44.2,61.5,47.3,23.5,15.2,74.8,74.8,38.9,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-86.23811882,41.70505037
New York City,North America,United States,246,Yeshiva University,US,S,FC,VH,5,B,2.6,3.7,85.5,98.5,,8.9,42.2,24.1,38.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-73.93229542,40.85060407
Amherst,North America,United States,253,University of Massachusetts Amherst,US,L,CO,VH,5,A,40.7,16.8,13.7,65.3,65.2,22.6,81.1,50.9,38.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-72.53262642,42.38675977
Charlottesville,North America,United States,253,University of Virginia,US,L,FC,VH,5,A,35.2,37.5,60.7,36.5,6.7,10.9,84.9,81.5,38.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-78.51055212,38.03355287
New Brunswick,North America,United States,267,Rutgers University New Brunswick,US,XL,CO,VH,5,A,37.6,35.6,51.3,26.3,22.4,36.5,90.8,15.5,37.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-74.44999232,40.50084047
Washington D.C.,North America,United States,281,Georgetown University,US,L,FC,VH,5,B,31.2,44.6,55.4,27.3,10.5,41.7,57.9,96,36.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-77.07483342,38.90760887
Medford,North America,United States,312,Tufts University,US,M,FC,VH,5,B,18.3,7.2,65.7,48.2,30.1,32.9,77.9,83.1,34.1,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-71.13188151,42.38496012
Boulder,North America,United States,317,University of Colorado Boulder,US,XL,CO,VH,5,A,37,13.5,41.8,36.8,30.2,5.8,89.6,47.2,33.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-105.268562,40.0073498
Bloomington,North America,United States,339,Indiana University Bloomington,US,XL,FC,VH,5,A,36.6,26.3,28.4,29.4,43.3,11.8,87.1,63.8,31.7,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-86.52558222,39.16824487
Storrs,North America,United States,350,University of Connecticut,US,L,FC,VH,5,A,15.5,10.7,11.5,82.8,69,24.4,86.9,35.5,31,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-72.24784642,41.81354147
Ashburn,North America,United States,362,George Washington University,US,L,FC,VH,5,B,27.2,29,31.3,32.6,39.2,32.1,86.1,66.6,30.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-77.05117412,38.89971447
